EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     26              29          0.896552

Graph Name                    Results  Reason
--------------------------  ---------  ----------------------
idArea1_subgraph                   48  Successfully generated
idBear1_subgraph                 1352  Successfully generated
idBumper1_subgraph               1098  Successfully generated
idBush1_subgraph                   20  Successfully generated
idCar1_subgraph                  1699  Successfully generated
idCarDoor1_subgraph              1450  Successfully generated
idCarKey1_subgraph                960  Successfully generated
idClearing1_subgraph              480  Successfully generated
idCrowbar1_subgraph                 0  ERG did not generate
idDen1_subgraph                    10  Successfully generated
idHorse1_subgraph                  10  Successfully generated
idLock1_subgraph                  920  Successfully generated
idMan1_subgraph                    72  Successfully generated
idPassenger1_subgraph              10  Successfully generated
idPlayerBackside_subgraph         628  Successfully generated
idPlayerLeftHand_subgraph        2397  Successfully generated
idPlayerRightHand_subgraph         96  Successfully generated
idPlayer_subgraph                  60  Successfully generated
idSideMirror1_subgraph              0  Graph contains cycles
idSmoke1_subgraph                 180  Successfully generated
idSpill1_subgraph                 120  Successfully generated
idStump1_subgraph                1602  Successfully generated
idTaillight1_subgraph               0  Graph contains cycles
idTheCar1_subgraph                 10  Successfully generated
idTheCarRoom1_subgraph           1600  Successfully generated
idTire1_subgraph                   12  Successfully generated
idTrunk1_subgraph                2538  Successfully generated
idWhistle1_subgraph              2598  Successfully generated
idWindow1_subgraph                 20  Successfully generated

Graph Component    Metric      Successful    Total    Coverage
-----------------  --------  ------------  -------  ----------
Nodes              Produced           129      134    0.962687
Nodes              Included           128      134    0.955224
Edges              Produced            99      105    0.942857
Edges              Included            99      105    0.942857

Node                                            MRS Produced    Reason                                  Included in MRS    Reason
----------------------------------------------  --------------  --------------------------------------  -----------------  --------------------------------------
idArea1_subgraph_idArea_1                       True            MRS fragment produced                   True               Included in MRS
idArea1_subgraph_logged_2                       True            MRS fragment produced                   True               Included in MRS
idArea1_subgraph_stumpy_2                       False           'stumpy' has no value in the lexicon    False              'stumpy' has no value in the lexicon
idBear1_subgraph_angry_2                        True            MRS fragment produced                   True               Included in MRS
idBear1_subgraph_black_3                        True            MRS fragment produced                   True               Included in MRS
idBear1_subgraph_broken_3                       True            MRS fragment produced                   True               Included in MRS
idBear1_subgraph_idBear_1                       True            MRS fragment produced                   True               Included in MRS
idBear1_subgraph_idCarKey_2                     True            MRS fragment produced                   True               Included in MRS
idBear1_subgraph_idClearing_3                   True            MRS fragment produced                   True               Included in MRS
idBear1_subgraph_idFace_3                       False           'idFace' has no value in the lexicon    False              'idFace' has no value in the lexicon
idBear1_subgraph_idSideMirror_2                 True            MRS fragment produced                   True               Included in MRS
idBear1_subgraph_idTheCar_3                     True            MRS fragment produced                   True               Included in MRS
idBear1_subgraph_large_2                        True            MRS fragment produced                   True               Included in MRS
idBear1_subgraph_true_3                         True            MRS fragment produced                   True               Included in MRS
idBear1_subgraph_yes_2                          True            MRS fragment produced                   True               Included in MRS
idBumper1_subgraph_black_3                      True            MRS fragment produced                   True               Included in MRS
idBumper1_subgraph_idBumper_1                   True            MRS fragment produced                   True               Included in MRS
idBumper1_subgraph_idCarKey_2                   True            MRS fragment produced                   True               Included in MRS
idBumper1_subgraph_idPlayer_3                   True            MRS fragment produced                   True               Included in MRS
idBumper1_subgraph_idTheCar_2                   True            MRS fragment produced                   True               Included in MRS
idBumper1_subgraph_true_3                       True            MRS fragment produced                   True               Included in MRS
idBush1_subgraph_green_2                        True            MRS fragment produced                   True               Included in MRS
idBush1_subgraph_idBush_1                       True            MRS fragment produced                   True               Included in MRS
idBush1_subgraph_yes_2                          True            MRS fragment produced                   True               Included in MRS
idCar1_subgraph_black_2                         True            MRS fragment produced                   True               Included in MRS
idCar1_subgraph_idCar_1                         True            MRS fragment produced                   True               Included in MRS
idCar1_subgraph_idSpill_3                       True            MRS fragment produced                   True               Included in MRS
idCar1_subgraph_idTaillight_2                   True            MRS fragment produced                   True               Included in MRS
idCar1_subgraph_old_2                           True            MRS fragment produced                   True               Included in MRS
idCar1_subgraph_unlit_3                         True            MRS fragment produced                   True               Included in MRS
idCar1_subgraph_yes_2                           True            MRS fragment produced                   True               Included in MRS
idCarDoor1_subgraph_closed_2                    True            MRS fragment produced                   True               Included in MRS
idCarDoor1_subgraph_crumpled_2                  True            MRS fragment produced                   True               Included in MRS
idCarDoor1_subgraph_idCarDoorLock_2             True            MRS fragment produced                   True               Included in MRS
idCarDoor1_subgraph_idCarDoor_1                 True            MRS fragment produced                   True               Included in MRS
idCarKey1_subgraph_black_2                      True            MRS fragment produced                   True               Included in MRS
idCarKey1_subgraph_idCarKey_1                   True            MRS fragment produced                   True               Included in MRS
idCarKey1_subgraph_idCar_2                      True            MRS fragment produced                   True               Included in MRS
idCarKey1_subgraph_old_3                        True            MRS fragment produced                   True               Included in MRS
idCarKey1_subgraph_true_2                       True            MRS fragment produced                   True               Included in MRS
idCarKey1_subgraph_yes_3                        True            MRS fragment produced                   True               Included in MRS
idClearing1_subgraph_black_3                    True            MRS fragment produced                   True               Included in MRS
idClearing1_subgraph_bushy_2                    True            MRS fragment produced                   True               Included in MRS
idClearing1_subgraph_idCarKey_2                 True            MRS fragment produced                   True               Included in MRS
idClearing1_subgraph_idClearing_1               True            MRS fragment produced                   True               Included in MRS
idClearing1_subgraph_true_3                     True            MRS fragment produced                   True               Included in MRS
idCrowbar1_subgraph_black_2                     True            MRS fragment produced                   True               Included in MRS
idCrowbar1_subgraph_chopped_3                   True            MRS fragment produced                   True               Included in MRS
idCrowbar1_subgraph_cool_2                      True            MRS fragment produced                   True               Included in MRS
idCrowbar1_subgraph_idCrowbar_1                 True            MRS fragment produced                   True               Included in MRS
idCrowbar1_subgraph_idSideMirror_3              True            MRS fragment produced                   True               Included in MRS
idCrowbar1_subgraph_idStump_2                   True            MRS fragment produced                   True               Included in MRS
idCrowbar1_subgraph_true_2                      True            MRS fragment produced                   True               Included in MRS
idCrowbar1_subgraph_yes_3                       True            MRS fragment produced                   True               Included in MRS
idDen1_subgraph_idDen_1                         True            MRS fragment produced                   True               Included in MRS
idHorse1_subgraph_idHorse_1                     True            MRS fragment produced                   True               Included in MRS
idHorse1_subgraph_silver_2                      True            MRS fragment produced                   True               Included in MRS
idLock1_subgraph_green_3                        True            MRS fragment produced                   True               Included in MRS
idLock1_subgraph_idBush_2                       True            MRS fragment produced                   True               Included in MRS
idLock1_subgraph_idLock_1                       True            MRS fragment produced                   True               Included in MRS
idLock1_subgraph_locked_2                       True            MRS fragment produced                   True               Included in MRS
idLock1_subgraph_yes_3                          True            MRS fragment produced                   True               Included in MRS
idMan1_subgraph_familiar_2                      True            MRS fragment produced                   True               Included in MRS
idMan1_subgraph_idMan_1                         True            MRS fragment produced                   True               Included in MRS
idMan1_subgraph_true_2                          True            MRS fragment produced                   True               Included in MRS
idMan1_subgraph_yes_2                           True            MRS fragment produced                   True               Included in MRS
idPassenger1_subgraph_idPassenger_1             True            MRS fragment produced                   True               Included in MRS
idPlayerBackside_subgraph_bushy_3               True            MRS fragment produced                   True               Included in MRS
idPlayerBackside_subgraph_chopped_3             True            MRS fragment produced                   True               Included in MRS
idPlayerBackside_subgraph_hollow_3              True            MRS fragment produced                   True               Included in MRS
idPlayerBackside_subgraph_idArea_3              True            MRS fragment produced                   True               Included in MRS
idPlayerBackside_subgraph_idClearing_2          True            MRS fragment produced                   True               Included in MRS
idPlayerBackside_subgraph_idPlayerBackside_1    True            MRS fragment produced                   True               Included in MRS
idPlayerBackside_subgraph_idStump_2             True            MRS fragment produced                   True               Included in MRS
idPlayerBackside_subgraph_idWhistle_3           True            MRS fragment produced                   True               Included in MRS
idPlayerLeftHand_subgraph_broken_3              True            MRS fragment produced                   True               Included in MRS
idPlayerLeftHand_subgraph_idFace_3              False           'idFace' has no value in the lexicon    False              'idFace' has no value in the lexicon
idPlayerLeftHand_subgraph_idLocalLeft_2         True            MRS fragment produced                   True               Included in MRS
idPlayerLeftHand_subgraph_idPlayerLeftHand_1    True            MRS fragment produced                   True               Included in MRS
idPlayerLeftHand_subgraph_idSideMirror_2        True            MRS fragment produced                   True               Included in MRS
idPlayerRightHand_subgraph_idPlayerRightHand_1  True            MRS fragment produced                   True               Included in MRS
idPlayerRightHand_subgraph_right_2              True            MRS fragment produced                   True               Included in MRS
idPlayer_subgraph_false_2                       True            MRS fragment produced                   False              Descends from failed edge
idPlayer_subgraph_idDen_2                       True            MRS fragment produced                   True               Included in MRS
idPlayer_subgraph_idPlayer_1                    True            MRS fragment produced                   True               Included in MRS
idSmoke1_subgraph_idBear_2                      True            MRS fragment produced                   True               Included in MRS
idSmoke1_subgraph_idSmoke_1                     True            MRS fragment produced                   True               Included in MRS
idSmoke1_subgraph_large_3                       True            MRS fragment produced                   True               Included in MRS
idSmoke1_subgraph_yes_2                         True            MRS fragment produced                   True               Included in MRS
idSmoke1_subgraph_yes_3                         True            MRS fragment produced                   True               Included in MRS
idSpill1_subgraph_black_2                       True            MRS fragment produced                   True               Included in MRS
idSpill1_subgraph_idDen_2                       True            MRS fragment produced                   True               Included in MRS
idSpill1_subgraph_idSpill_1                     True            MRS fragment produced                   True               Included in MRS
idSpill1_subgraph_yes_2                         True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_black_3                       True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_chopped_2                     True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_hollow_2                      True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_idBush_3                      True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_idFace_3                      False           'idFace' has no value in the lexicon    False              'idFace' has no value in the lexicon
idStump1_subgraph_idSideMirror_2                True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_idStump_1                     True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_idTire_2                      True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_shiny_3                       True            MRS fragment produced                   True               Included in MRS
idStump1_subgraph_yes_2                         True            MRS fragment produced                   True               Included in MRS
idTheCar1_subgraph_idTheCar_1                   True            MRS fragment produced                   True               Included in MRS
idTheCarRoom1_subgraph_green_3                  True            MRS fragment produced                   True               Included in MRS
idTheCarRoom1_subgraph_idBush_2                 True            MRS fragment produced                   True               Included in MRS
idTheCarRoom1_subgraph_idCrowbar_3              True            MRS fragment produced                   True               Included in MRS
idTheCarRoom1_subgraph_idTheCarRoom_1           True            MRS fragment produced                   True               Included in MRS
idTheCarRoom1_subgraph_smoky_2                  True            MRS fragment produced                   True               Included in MRS
idTheCarRoom1_subgraph_yes_3                    True            MRS fragment produced                   True               Included in MRS
idTire1_subgraph_black_2                        True            MRS fragment produced                   True               Included in MRS
idTire1_subgraph_idTire_1                       True            MRS fragment produced                   True               Included in MRS
idTrunk1_subgraph_black_2                       True            MRS fragment produced                   True               Included in MRS
idTrunk1_subgraph_black_3                       True            MRS fragment produced                   True               Included in MRS
idTrunk1_subgraph_cracked_3                     True            MRS fragment produced                   True               Included in MRS
idTrunk1_subgraph_idCarKey_2                    True            MRS fragment produced                   True               Included in MRS
idTrunk1_subgraph_idTrunk_1                     True            MRS fragment produced                   True               Included in MRS
