EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     10              16             0.625

Graph Name                    Results  Reason
--------------------------  ---------  ----------------------
idBottle1_subgraph               1630  Successfully generated
idBranch1_subgraph               2103  Successfully generated
idCave1_subgraph                   60  Successfully generated
idClearing1_subgraph                0  ERG did not generate
idGlowingArea1_subgraph           624  Successfully generated
idGlowingFlower1_subgraph          90  Successfully generated
idGlowingGrass1_subgraph            0  ERG did not generate
idGrass1_subgraph                   0  ERG did not generate
idPebble1_subgraph                700  Successfully generated
idPlayerBackside_subgraph         800  Successfully generated
idPlayerLeftHand_subgraph           0  Graph contains cycles
idPlayerRightHand_subgraph         96  Successfully generated
idPlayer_subgraph                2000  Successfully generated
idRockPile1_subgraph             1152  Successfully generated
idRockyArea1_subgraph               0  Graph contains cycles
idTheTrees1_subgraph                0  Graph contains cycles

Graph Component    Metric      Successful    Total    Coverage
-----------------  --------  ------------  -------  ----------
Nodes              Produced            73       73    1
Nodes              Included            71       73    0.972603
Edges              Produced            58       60    0.966667
Edges              Included            58       60    0.966667

Node                                            MRS Produced    Reason                 Included in MRS    Reason
----------------------------------------------  --------------  ---------------------  -----------------  -------------------------
idBottle1_subgraph_broken_2                     True            MRS fragment produced  True               Included in MRS
idBottle1_subgraph_brown_4                      True            MRS fragment produced  True               Included in MRS
idBottle1_subgraph_bumpy_9                      True            MRS fragment produced  True               Included in MRS
idBottle1_subgraph_false_6                      True            MRS fragment produced  False              Descends from failed edge
idBottle1_subgraph_idBottle_1                   True            MRS fragment produced  True               Included in MRS
idBottle1_subgraph_idPlayer_5                   True            MRS fragment produced  True               Included in MRS
idBottle1_subgraph_idRockPile_7                 True            MRS fragment produced  True               Included in MRS
idBottle1_subgraph_sharp_3                      True            MRS fragment produced  True               Included in MRS
idBottle1_subgraph_yes_8                        True            MRS fragment produced  True               Included in MRS
idBranch1_subgraph_brown_2                      True            MRS fragment produced  True               Included in MRS
idBranch1_subgraph_glowing_5                    True            MRS fragment produced  True               Included in MRS
idBranch1_subgraph_idBranch_1                   True            MRS fragment produced  True               Included in MRS
idBranch1_subgraph_idGlowingGrass_3             True            MRS fragment produced  True               Included in MRS
idBranch1_subgraph_idPlayerBackside_6           True            MRS fragment produced  True               Included in MRS
idBranch1_subgraph_yes_4                        True            MRS fragment produced  True               Included in MRS
idCave1_subgraph_dark_2                         True            MRS fragment produced  True               Included in MRS
idCave1_subgraph_grassy_4                       True            MRS fragment produced  True               Included in MRS
idCave1_subgraph_idCave_1                       True            MRS fragment produced  True               Included in MRS
idCave1_subgraph_idClearing_3                   True            MRS fragment produced  True               Included in MRS
idClearing1_subgraph_grassy_2                   True            MRS fragment produced  True               Included in MRS
idClearing1_subgraph_idClearing_1               True            MRS fragment produced  True               Included in MRS
idClearing1_subgraph_idGlowingGrass_3           True            MRS fragment produced  True               Included in MRS
idClearing1_subgraph_idPlayer_6                 True            MRS fragment produced  True               Included in MRS
idClearing1_subgraph_uncountable_5              True            MRS fragment produced  True               Included in MRS
idClearing1_subgraph_yes_4                      True            MRS fragment produced  True               Included in MRS
idGlowingArea1_subgraph_glowing_2               True            MRS fragment produced  True               Included in MRS
idGlowingArea1_subgraph_idGlowingArea_1         True            MRS fragment produced  True               Included in MRS
idGlowingArea1_subgraph_idPlayerBackside_3      True            MRS fragment produced  True               Included in MRS
idGlowingFlower1_subgraph_glowing_2             True            MRS fragment produced  True               Included in MRS
idGlowingFlower1_subgraph_green_3               True            MRS fragment produced  True               Included in MRS
idGlowingFlower1_subgraph_idGlowingFlower_1     True            MRS fragment produced  True               Included in MRS
idGlowingFlower1_subgraph_true_4                True            MRS fragment produced  True               Included in MRS
idGlowingGrass1_subgraph_glowing_6              True            MRS fragment produced  True               Included in MRS
idGlowingGrass1_subgraph_green_3                True            MRS fragment produced  True               Included in MRS
idGlowingGrass1_subgraph_idGlowingArea_5        True            MRS fragment produced  True               Included in MRS
idGlowingGrass1_subgraph_idGlowingGrass_1       True            MRS fragment produced  True               Included in MRS
idGlowingGrass1_subgraph_idPlayerLeftHand_7     True            MRS fragment produced  True               Included in MRS
idGlowingGrass1_subgraph_uncountable_2          True            MRS fragment produced  True               Included in MRS
