EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     13              16            0.8125

Graph Name                    Results  Reason
--------------------------  ---------  ----------------------
idBottle1_subgraph               1630  Successfully generated
idBranch1_subgraph               2103  Successfully generated
idCave1_subgraph                   60  Successfully generated
idClearing1_subgraph              500  Successfully generated
idGlowingArea1_subgraph           624  Successfully generated
idGlowingFlower1_subgraph          90  Successfully generated
idGlowingGrass1_subgraph         2616  Successfully generated
idGrass1_subgraph                2304  Successfully generated
idPebble1_subgraph                700  Successfully generated
idPlayerBackside_subgraph         800  Successfully generated
idPlayerLeftHand_subgraph           0  Graph contains cycles
idPlayerRightHand_subgraph         96  Successfully generated
idPlayer_subgraph                2000  Successfully generated
idRockPile1_subgraph             1152  Successfully generated
idRockyArea1_subgraph               0  Graph contains cycles
idTheTrees1_subgraph                0  Graph contains cycles

Graph Component    Metric      Successful    Total    Coverage
-----------------  --------  ------------  -------  ----------
Nodes              Produced            70       73    0.958904
Nodes              Included            68       73    0.931507
Edges              Produced            54       59    0.915254
Edges              Included            54       59    0.915254

Node                                            MRS Produced    Reason                                     Included in MRS    Reason
----------------------------------------------  --------------  -----------------------------------------  -----------------  -----------------------------------------
idBottle1_subgraph_broken_2                     True            MRS fragment produced                      True               Included in MRS
idBottle1_subgraph_brown_2                      True            MRS fragment produced                      True               Included in MRS
idBottle1_subgraph_bumpy_3                      True            MRS fragment produced                      True               Included in MRS
idBottle1_subgraph_false_3                      True            MRS fragment produced                      False              Descends from failed edge
idBottle1_subgraph_idBottle_1                   True            MRS fragment produced                      True               Included in MRS
idBottle1_subgraph_idPlayer_2                   True            MRS fragment produced                      True               Included in MRS
idBottle1_subgraph_idRockPile_2                 True            MRS fragment produced                      True               Included in MRS
idBottle1_subgraph_sharp_2                      True            MRS fragment produced                      True               Included in MRS
idBottle1_subgraph_yes_3                        True            MRS fragment produced                      True               Included in MRS
idBranch1_subgraph_brown_2                      True            MRS fragment produced                      True               Included in MRS
idBranch1_subgraph_glowing_3                    True            MRS fragment produced                      True               Included in MRS
idBranch1_subgraph_idBranch_1                   True            MRS fragment produced                      True               Included in MRS
idBranch1_subgraph_idGlowingGrass_2             True            MRS fragment produced                      True               Included in MRS
idBranch1_subgraph_idPlayerBackside_3           True            MRS fragment produced                      True               Included in MRS
idBranch1_subgraph_yes_3                        True            MRS fragment produced                      True               Included in MRS
idCave1_subgraph_dark_2                         True            MRS fragment produced                      True               Included in MRS
idCave1_subgraph_grassy_3                       True            MRS fragment produced                      True               Included in MRS
idCave1_subgraph_idCave_1                       True            MRS fragment produced                      True               Included in MRS
idCave1_subgraph_idClearing_2                   True            MRS fragment produced                      True               Included in MRS
idClearing1_subgraph_grassy_2                   True            MRS fragment produced                      True               Included in MRS
idClearing1_subgraph_idClearing_1               True            MRS fragment produced                      True               Included in MRS
idClearing1_subgraph_idGlowingGrass_2           True            MRS fragment produced                      True               Included in MRS
idClearing1_subgraph_idPlayer_3                 True            MRS fragment produced                      True               Included in MRS
idClearing1_subgraph_uncountable_3              False           'uncountable' has no value in the lexicon  False              'uncountable' has no value in the lexicon
idClearing1_subgraph_yes_3                      True            MRS fragment produced                      True               Included in MRS
idGlowingArea1_subgraph_glowing_2               True            MRS fragment produced                      True               Included in MRS
idGlowingArea1_subgraph_idGlowingArea_1         True            MRS fragment produced                      True               Included in MRS
idGlowingArea1_subgraph_idPlayerBackside_2      True            MRS fragment produced                      True               Included in MRS
idGlowingFlower1_subgraph_glowing_2             True            MRS fragment produced                      True               Included in MRS
idGlowingFlower1_subgraph_green_2               True            MRS fragment produced                      True               Included in MRS
idGlowingFlower1_subgraph_idGlowingFlower_1     True            MRS fragment produced                      True               Included in MRS
idGlowingFlower1_subgraph_true_2                True            MRS fragment produced                      True               Included in MRS
idGlowingGrass1_subgraph_glowing_3              True            MRS fragment produced                      True               Included in MRS
idGlowingGrass1_subgraph_green_2                True            MRS fragment produced                      True               Included in MRS
idGlowingGrass1_subgraph_idGlowingArea_2        True            MRS fragment produced                      True               Included in MRS
idGlowingGrass1_subgraph_idGlowingGrass_1       True            MRS fragment produced                      True               Included in MRS
idGlowingGrass1_subgraph_idPlayerLeftHand_3     True            MRS fragment produced                      True               Included in MRS
idGlowingGrass1_subgraph_uncountable_2          False           'uncountable' has no value in the lexicon  False              'uncountable' has no value in the lexicon
idGlowingGrass1_subgraph_yes_2                  True            MRS fragment produced                      True               Included in MRS
idGrass1_subgraph_green_2                       True            MRS fragment produced                      True               Included in MRS
idGrass1_subgraph_grey_3                        True            MRS fragment produced                      True               Included in MRS
idGrass1_subgraph_idGrass_1                     True            MRS fragment produced                      True               Included in MRS
