EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     13              15          0.866667

Graph Name                              Results  Reason
------------------------------------  ---------  ----------------------
idDesk1_subgraph                           1144  Successfully generated
idDrawer1_subgraph                          529  Successfully generated
idGameRoom1BackOpening_subgraph              30  Successfully generated
idGameRoom1_subgraph                        540  Successfully generated
idKeyBlue_subgraph                           20  Successfully generated
idPlayerBackside_subgraph                   288  Successfully generated
idPlayerLeftHand_subgraph                  1206  Successfully generated
idPlayerRightHand_subgraph                  215  Successfully generated
idPlayer_subgraph                             0  Graph contains cycles
idSign1Text_subgraph                         12  Successfully generated
idSign1_subgraph                            642  Successfully generated
idTutorialRoom1Door_subgraph                  0  Graph contains cycles
idTutorialRoom1FrontOpening_subgraph         30  Successfully generated
idTutorialRoom1_subgraph                   1571  Successfully generated
idWorld1_subgraph                          1508  Successfully generated

Graph Component    Metric      Successful    Total    Coverage
-----------------  --------  ------------  -------  ----------
Nodes              Produced            55       55           1
Nodes              Included            55       55           1
Edges              Produced            39       39           1
Edges              Included            39       39           1

Node                                                                MRS Produced    Reason                 Included in MRS    Reason
------------------------------------------------------------------  --------------  ---------------------  -----------------  ---------------
idDesk1_subgraph_idDesk_1                                           True            MRS fragment produced  True               Included in MRS
idDesk1_subgraph_idGameRoom_2                                       True            MRS fragment produced  True               Included in MRS
idDesk1_subgraph_idPlayer_3                                         True            MRS fragment produced  True               Included in MRS
idDesk1_subgraph_true_2                                             True            MRS fragment produced  True               Included in MRS
idDesk1_subgraph_true_3                                             True            MRS fragment produced  True               Included in MRS
idDesk1_subgraph_yes_2                                              True            MRS fragment produced  True               Included in MRS
idDrawer1_subgraph_blue_3                                           True            MRS fragment produced  True               Included in MRS
idDrawer1_subgraph_closed_2                                         True            MRS fragment produced  True               Included in MRS
idDrawer1_subgraph_idDrawer_1                                       True            MRS fragment produced  True               Included in MRS
idDrawer1_subgraph_idKeyBlue_2                                      True            MRS fragment produced  True               Included in MRS
idDrawer1_subgraph_idTutorialRoom1Door_3                            True            MRS fragment produced  True               Included in MRS
idDrawer1_subgraph_idTutorialRoom1FrontOpening_2                    True            MRS fragment produced  True               Included in MRS
idDrawer1_subgraph_idTutorialRoom_3                                 True            MRS fragment produced  True               Included in MRS
idDrawer1_subgraph_true_3                                           True            MRS fragment produced  True               Included in MRS
idGameRoom1BackOpening_subgraph_idGameRoom1BackOpening_1            True            MRS fragment produced  True               Included in MRS
idGameRoom1_subgraph_idGameRoom_1                                   True            MRS fragment produced  True               Included in MRS
idGameRoom1_subgraph_idTutorialRoom1FrontOpening_2                  True            MRS fragment produced  True               Included in MRS
idGameRoom1_subgraph_true_2                                         True            MRS fragment produced  True               Included in MRS
idKeyBlue_subgraph_blue_2                                           True            MRS fragment produced  True               Included in MRS
idKeyBlue_subgraph_idKeyBlue_1                                      True            MRS fragment produced  True               Included in MRS
idKeyBlue_subgraph_true_2                                           True            MRS fragment produced  True               Included in MRS
idPlayerBackside_subgraph_idGameRoom1BackOpening_2                  True            MRS fragment produced  True               Included in MRS
idPlayerBackside_subgraph_idPlayerBackside_1                        True            MRS fragment produced  True               Included in MRS
