EVALUATION SUMMARY

  Graphs Generated From    Total Graphs    Graph Coverage
-----------------------  --------------  ----------------
                     13              15          0.866667

Graph Name                              Results  Reason
------------------------------------  ---------  ----------------------
idDesk1_subgraph                            800  Successfully generated
idDrawer1_subgraph                          640  Successfully generated
idGameRoom1BackOpening_subgraph              30  Successfully generated
idGameRoom1_subgraph                        360  Successfully generated
idKeyBlue_subgraph                           10  Successfully generated
idPlayerBackside_subgraph                   288  Successfully generated
idPlayerLeftHand_subgraph                  1206  Successfully generated
idPlayerRightHand_subgraph                  296  Successfully generated
idPlayer_subgraph                             0  Graph contains cycles
idSign1Text_subgraph                         12  Successfully generated
idSign1_subgraph                            671  Successfully generated
idTutorialRoom1Door_subgraph                  0  Graph contains cycles
idTutorialRoom1FrontOpening_subgraph         30  Successfully generated
idTutorialRoom1_subgraph                   1200  Successfully generated
idWorld1_subgraph                          1376  Successfully generated

Graph Component    Metric      Successful    Total    Coverage
-----------------  --------  ------------  -------  ----------
Nodes              Produced            55       55    1
Nodes              Included            44       55    0.8
Edges              Produced            31       42    0.738095
Edges              Included            31       42    0.738095

Node                                                                MRS Produced    Reason                 Included in MRS    Reason
------------------------------------------------------------------  --------------  ---------------------  -----------------  -------------------------
idDesk1_subgraph_idDesk_1                                           True            MRS fragment produced  True               Included in MRS
idDesk1_subgraph_idGameRoom_4                                       True            MRS fragment produced  True               Included in MRS
idDesk1_subgraph_idPlayer_6                                         True            MRS fragment produced  True               Included in MRS
idDesk1_subgraph_true_3                                             True            MRS fragment produced  False              Descends from failed edge
idDesk1_subgraph_true_5                                             True            MRS fragment produced  False              Descends from failed edge
idDesk1_subgraph_yes_2                                              True            MRS fragment produced  False              Descends from failed edge
idDrawer1_subgraph_blue_4                                           True            MRS fragment produced  True               Included in MRS
idDrawer1_subgraph_closed_2                                         True            MRS fragment produced  True               Included in MRS
idDrawer1_subgraph_idDrawer_1                                       True            MRS fragment produced  True               Included in MRS
idDrawer1_subgraph_idKeyBlue_3                                      True            MRS fragment produced  True               Included in MRS
idDrawer1_subgraph_idTutorialRoom1Door_8                            True            MRS fragment produced  True               Included in MRS
idDrawer1_subgraph_idTutorialRoom1FrontOpening_7                    True            MRS fragment produced  True               Included in MRS
idDrawer1_subgraph_idTutorialRoom_6                                 True            MRS fragment produced  True               Included in MRS
idDrawer1_subgraph_true_5                                           True            MRS fragment produced  False              Descends from failed edge
idGameRoom1BackOpening_subgraph_idGameRoom1BackOpening_1            True            MRS fragment produced  True               Included in MRS
idGameRoom1_subgraph_idGameRoom_1                                   True            MRS fragment produced  True               Included in MRS
idGameRoom1_subgraph_idTutorialRoom1FrontOpening_3                  True            MRS fragment produced  True               Included in MRS
idGameRoom1_subgraph_true_2                                         True            MRS fragment produced  False              Descends from failed edge
idKeyBlue_subgraph_blue_2                                           True            MRS fragment produced  True               Included in MRS
idKeyBlue_subgraph_idKeyBlue_1                                      True            MRS fragment produced  True               Included in MRS
idKeyBlue_subgraph_true_3                                           True            MRS fragment produced  False              Descends from failed edge
idPlayerBackside_subgraph_idGameRoom1BackOpening_2                  True            MRS fragment produced  True               Included in MRS
idPlayerBackside_subgraph_idPlayerBackside_1                        True            MRS fragment produced  True               Included in MRS
